weekday,date,hour,dnh,week,area,url,lat,lng
Mon,1,00,100,A,1,https://www.instagram.com/p/BB_afmyHZmb/,48.8486557,2.3481125
Thu,4,00,400,A,1,https://www.instagram.com/p/BB5_OZ9MAEw/,48.8465,2.3449
Thu,4,00,400,A,1,https://www.instagram.com/p/BB5_p8GK7tQ/,48.84359,2.352279
Thu,4,00,400,A,1,https://www.instagram.com/p/BB5-gDrInbg/,48.85318877,2.348506927
Thu,4,00,400,A,1,https://www.instagram.com/p/BB5onXyux1X/,48.84171513,2.355619849
Thu,4,00,400,A,1,https://www.instagram.com/p/BB5SUDgC-_4/,48.85329,2.35762
Thu,4,00,400,A,1,https://www.instagram.com/p/BB5VrunQHIA/,48.85318877,2.348506927
Thu,4,00,400,A,1,https://www.instagram.com/p/BB5yjXzExOE/,48.85318877,2.348506927
Fri,5,00,500,A,1,https://www.instagram.com/p/BB61GwZq7mG/,48.85312084,2.346471955
Fri,5,00,500,A,1,https://www.instagram.com/p/BB6cPoLF-AD/,48.85318877,2.348506927
Fri,5,00,500,A,1,https://www.instagram.com/p/BB7bOOAjobG/,48.85318877,2.348506927
Fri,5,00,500,A,1,https://www.instagram.com/p/BB7BoWxMuf7/,48.85318877,2.348506927
Fri,5,00,500,A,1,https://www.instagram.com/p/BB7bpjsiRmt/,48.85318877,2.348506927
Fri,5,00,500,A,1,https://www.instagram.com/p/BB7bqDROnnw/,48.8549004,2.3591199
Fri,5,00,500,A,1,https://www.instagram.com/p/BB7c_5xILhZ/,48.85318877,2.348506927
Fri,5,00,500,A,1,https://www.instagram.com/p/BB7D2KepjRp/,48.85403318,2.34812112
Fri,5,00,500,A,1,https://www.instagram.com/p/BB7d7P5HLis/,48.85318877,2.348506927
Fri,5,00,500,A,1,https://www.instagram.com/p/BB7d9S1LiKM/,48.85272468,2.347259349
Fri,5,00,500,A,1,https://www.instagram.com/p/BB7DCERi2dP/,48.85318877,2.348506927
Fri,5,00,500,A,1,https://www.instagram.com/p/BB7dePkPOdj/,48.85318877,2.348506927
